184	1	138	8 1 0
19	0	33	7	22	29	11	19	13	11	21	18	17	32	36	19	40	41	32	20	12	15	12	10	17	17	39	43	18	35	10	22	3	12	27	9	20	22	21	26	41	24	26	33	29	29	39	52	47	37	19	21	23	14	40	34	24	25	31	8	28	16	14	24	38	22	23	15	25	25	29	24	32	17	37	15	34	26	6	6	10	16	23	20	33	32	50	33	5	29	29	20	27	28	31	19	18	32	34	15	26	17	18	15	17	27	36	24	13	26	12	24	25	37	36	24	23	16	36	30	5	18	20	30	33	22	20	21	37	13	36	19	16	32	41	39	41	22
16	33	0	27	8	29	21	12	28	24	14	15	19	5	3	11	13	13	11	15	24	23	22	28	19	13	11	16	18	3	24	21	34	26	6	30	12	9	10	8	13	6	7	4	23	5	14	24	19	37	17	9	21	21	12	2	24	20	26	26	27	18	22	12	10	19	13	27	20	13	28	7	32	20	5	21	10	25	34	30	31	18	11	18	31	29	22	1	35	28	9	15	20	11	10	13	15	11	33	20	4	12	27	15	13	26	8	8	16	10	20	10	6	15	3	10	16	15	6	30	28	17	15	6	9	22	25	17	5	28	8	17	22	2	13	11	14	14
13	7	27	0	20	23	12	20	8	5	15	18	11	26	30	18	34	35	26	14	6	9	13	5	11	12	33	37	12	29	4	16	7	10	21	4	21	17	20	19	35	20	20	27	23	23	33	46	41	31	19	18	17	8	34	28	18	19	25	2	22	10	9	18	32	16	17	10	19	19	23	18	26	11	24	9	28	20	7	4	10	10	15	14	27	26	44	27	6	23	23	14	21	22	25	13	18	26	28	9	21	17	12	16	14	21	30	22	14	18	13	18	21	31	30	16	17	11	30	24	2	12	14	24	27	16	14	15	31	8	30	20	10	26	35	33	35	16
17	22	8	20	0	29	14	5	26	18	17	8	18	14	8	4	20	21	18	13	22	14	15	27	13	8	19	23	15	6	23	19	20	13	10	29	5	5	2	9	21	2	11	12	28	11	22	32	27	34	10	2	23	21	20	8	24	22	31	19	25	16	15	15	18	21	18	25	22	21	27	4	33	18	7	20	16	23	18	19	15	15	12	18	30	29	30	9	34	27	16	15	25	24	17	8	9	18	31	18	6	6	26	8	8	24	16	2	9	7	14	19	3	22	7	13	21	10	13	28	21	16	17	13	15	21	24	19	10	26	16	10	21	11	21	19	21	21
14	29	29	23	29	0	31	29	22	20	17	32	13	29	32	28	34	36	16	16	19	22	32	24	18	26	22	30	15	31	21	12	30	25	20	27	30	26	29	23	26	30	19	29	12	22	20	26	27	6	34	27	8	18	21	31	6	10	9	23	11	14	23	18	21	8	15	21	7	16	5	29	3	14	34	15	20	11	28	26	31	18	20	10	3	4	24	29	31	13	17	16	15	15	18	23	32	16	7	18	31	30	18	30	26	9	25	31	30	23	31	20	31	21	30	21	13	22	27	13	25	13	16	26	21	7	13	11	34	24	24	34	18	29	26	30	28	13
18	11	21	12	14	31	0	10	19	14	19	9	19	31	21	10	38	39	30	15	15	12	2	16	12	9	37	41	18	19	14	22	9	7	18	16	10	15	13	17	39	16	18	31	30	21	39	45	45	37	10	12	24	22	38	21	26	26	32	12	28	18	10	17	36	24	20	27	24	23	29	15	36	20	21	22	32	25	7	8	3	14	14	20	33	35	43	21	16	29	26	17	28	25	29	11	9	30	33	16	17	8	28	6	8	26	33	15	5	17	1	22	17	38	20	15	23	9	34	30	12	18	19	28	31	23	26	21	25	19	33	10	23	30	39	37	39	21
17	19	12	20	5	29	10	0	27	18	18	4	18	16	12	4	31	37	19	14	23	15	11	27	14	9	36	34	16	9	23	20	17	12	11	30	0	6	3	10	35	6	12	15	29	13	38	39	34	35	6	3	23	21	34	12	24	25	31	19	26	17	15	16	32	22	19	26	23	22	28	6	34	19	12	20	30	24	15	16	12	15	13	19	32	34	37	12	24	28	17	16	26	24	18	9	4	19	32	18	8	6	27	5	9	25	29	5	6	8	10	21	8	36	10	14	22	11	17	29	20	17	18	15	30	22	25	20	13	27	29	6	22	14	35	35	35	20
13	13	28	8	26	22	19	27	0	10	16	30	9	28	31	26	35	36	27	16	9	20	20	4	17	24	34	39	13	30	7	10	13	23	22	6	27	24	27	21	36	28	21	28	25	24	35	47	42	20	32	25	16	8	35	29	17	18	24	10	11	12	20	19	33	15	18	2	18	20	13	26	19	7	33	11	29	10	14	12	18	15	18	16	25	26	45	28	11	12	25	16	22	23	26	21	30	27	17	14	28	27	5	28	24	10	32	29	28	21	20	19	30	32	31	19	20	20	31	13	9	14	15	25	28	14	8	16	33	2	31	32	4	28	36	34	36	16
10	11	24	5	18	20	14	18	10	0	12	19	9	24	28	17	31	32	23	12	2	6	16	6	8	10	30	35	9	26	3	13	10	8	19	8	19	15	18	18	32	19	18	24	21	21	33	44	39	28	20	16	14	5	32	26	15	16	22	4	19	8	7	15	30	13	14	9	17	17	21	16	23	9	29	6	25	17	10	7	11	7	15	12	23	24	41	24	10	21	20	12	18	19	22	11	19	24	25	4	18	15	9	16	12	18	27	20	14	17	15	15	20	29	27	15	17	9	27	22	6	9	11	22	24	13	12	13	29	10	27	20	8	24	33	30	33	13
4	21	14	15	17	17	19	18	16	12	0	21	7	13	18	16	21	22	13	4	11	10	20	16	8	14	20	24	5	16	12	11	22	14	7	19	18	15	17	7	22	19	7	14	13	10	23	33	28	25	22	16	11	10	21	15	12	10	17	15	17	7	11	3	19	7	2	15	11	6	18	16	19	9	18	9	15	13	23	19	19	7	7	6	21	19	31	14	23	18	11	4	11	9	12	10	21	13	22	8	17	18	15	18	15	15	17	19	18	9	19	5	20	21	17	5	7	11	17	19	16	5	2	11	14	12	16	7	19	15	17	22	11	13	22	20	22	3
20	18	15	18	8	32	9	4	30	19	21	0	21	20	15	7	33	40	23	17	26	18	10	31	17	12	39	36	19	13	27	23	16	11	15	22	5	10	7	14	41	10	16	19	32	17	42	43	38	38	3	7	26	25	40	16	27	26	35	18	29	20	15	19	38	25	22	29	26	25	31	10	37	22	15	23	34	27	13	15	10	19	16	22	34	33	40	16	22	30	20	18	29	27	21	12	0	23	35	22	12	6	30	4	6	28	36	10	5	12	8	23	11	39	14	17	24	14	21	32	19	20	21	30	32	25	28	23	17	30	36	1	25	17	41	38	40	24
4	17	19	11	18	13	19	18	9	9	7	21	0	19	22	17	26	27	20	6	8	11	21	15	7	15	25	30	4	21	9	5	18	14	13	17	19	15	18	12	27	19	12	19	13	15	25	31	33	20	23	16	7	6	26	20	8	9	15	11	11	4	12	10	24	4	8	8	9	11	12	17	15	2	23	3	20	9	23	15	20	7	9	3	17	17	28	19	21	12	16	6	10	14	17	12	21	20	17	7	19	18	9	19	15	10	23	20	19	12	20	10	20	23	22	10	6	11	22	13	13	3	5	16	19	6	10	4	24	14	22	23	5	18	27	25	27	7
16	32	5	26	14	29	31	16	28	24	13	20	19	0	8	15	10	11	8	15	23	22	31	28	18	26	9	13	17	8	24	21	33	26	9	31	17	15	15	13	11	12	13	2	20	8	12	22	17	33	21	13	20	21	10	7	24	20	22	26	27	18	22	12	8	19	13	27	20	13	28	11	31	19	9	21	4	25	34	30	31	18	18	18	27	25	19	4	35	28	9	15	20	11	6	21	20	8	32	19	8	17	27	20	26	25	5	13	30	20	31	9	12	8	9	14	16	23	3	29	28	16	15	6	2	22	25	17	10	27	5	21	22	3	11	9	11	14
19	36	3	30	8	32	21	12	31	28	18	15	22	8	0	11	14	15	14	19	27	26	22	31	23	14	13	17	21	3	28	24	37	19	9	34	12	11	9	10	15	6	10	6	26	8	16	26	21	40	17	9	24	25	14	3	27	23	29	30	30	21	26	15	12	23	16	30	23	16	31	8	35	23	3	24	11	28	25	25	22	23	13	21	34	33	24	4	38	31	12	19	23	14	13	14	15	14	36	23	6	13	30	15	14	29	10	7	16	12	21	13	6	16	3	12	19	16	7	32	32	20	19	9	9	25	29	20	2	31	10	17	25	5	15	13	15	19
15	19	11	18	4	28	10	4	26	17	16	7	17	15	11	0	32	36	18	12	21	13	11	26	13	8	34	38	15	9	23	19	17	12	10	29	4	5	3	9	36	6	11	14	27	12	37	42	36	34	8	2	22	20	35	11	23	21	31	18	25	16	14	14	33	21	17	25	21	20	26	5	33	17	11	19	29	22	14	16	11	14	11	18	30	29	39	11	33	26	16	14	25	23	17	8	6	18	30	17	7	2	25	5	4	23	31	6	5	7	9	19	7	35	9	12	20	10	16	27	20	15	16	14	28	21	24	18	13	26	31	7	20	13	36	34	36	20
24	40	13	34	20	34	38	31	35	31	21	33	26	10	14	32	0	2	22	22	31	30	39	35	26	34	11	6	25	15	31	28	41	34	17	38	30	22	21	21	5	18	20	11	25	18	18	15	9	38	34	31	28	29	15	13	32	28	28	33	34	25	30	19	10	27	20	34	28	21	36	19	37	27	15	28	11	32	41	37	38	25	25	25	33	31	12	12	42	36	16	22	27	19	14	28	32	22	41	27	16	34	35	37	33	33	6	19	37	28	39	17	18	18	16	22	24	30	8	37	35	24	23	13	10	29	33	24	12	35	6	35	30	11	6	4	6	22
24	41	13	35	21	36	39	37	36	32	22	40	27	11	15	36	2	0	22	23	31	30	40	36	27	34	16	5	25	15	32	29	41	33	18	39	34	23	22	22	4	19	20	12	25	18	17	14	9	37	42	35	29	30	14	14	30	29	27	34	35	26	31	20	11	28	21	35	29	21	37	19	36	28	16	28	12	33	42	38	39	26	26	26	32	30	11	13	43	37	17	23	27	20	15	29	40	22	39	28	17	37	36	38	34	34	7	20	38	29	39	18	19	17	16	22	24	30	9	38	36	25	24	14	11	30	34	25	14	36	7	42	31	12	4	3	4	22
17	32	11	26	18	16	30	19	27	23	13	23	20	8	14	18	22	22	0	14	23	22	31	27	18	26	8	15	17	13	24	19	33	25	8	30	19	13	18	12	14	17	9	11	7	8	9	15	15	20	24	16	16	21	9	13	18	12	10	26	28	18	22	11	9	16	11	26	14	8	23	15	19	19	16	20	5	25	34	29	31	18	17	17	15	13	12	11	34	28	4	14	9	5	2	21	22	0	22	19	14	20	27	23	18	20	13	18	30	14	31	9	17	4	14	13	13	22	11	27	28	21	15	6	5	17	25	14	16	27	13	24	25	10	14	18	16	11
4	20	15	14	13	16	15	14	16	12	4	17	6	15	19	12	22	23	14	0	11	5	16	16	4	10	21	26	3	17	12	9	18	10	7	19	14	11	14	6	24	15	8	15	14	11	24	34	30	23	18	12	10	9	23	16	11	12	18	14	15	6	7	4	20	9	5	15	12	7	16	12	19	7	19	9	16	13	18	16	15	3	3	6	22	20	32	15	23	16	12	1	12	10	13	6	17	14	20	6	15	14	15	14	11	13	19	15	14	6	16	6	16	22	18	4	8	6	18	17	16	5	3	13	16	11	13	8	20	15	18	18	10	14	24	21	23	6
9	12	24	6	22	19	15	23	9	2	11	26	8	23	27	21	31	31	23	11	0	5	16	6	7	10	29	34	8	26	4	12	12	8	18	9	23	19	22	17	32	24	17	24	20	20	32	43	38	27	20	20	13	4	31	25	14	15	21	5	18	7	6	15	29	12	13	8	16	16	20	22	22	8	28	5	25	16	12	9	13	5	14	11	22	23	40	24	11	20	19	11	17	18	21	11	26	23	24	3	24	23	8	16	12	17	26	25	14	16	15	14	25	28	26	15	16	9	26	21	7	8	10	21	23	12	11	12	29	9	26	27	7	23	32	30	32	12
10	15	23	9	14	22	12	15	20	6	10	18	11	22	26	13	30	30	22	5	5	0	13	20	2	7	28	33	4	19	9	13	12	7	10	14	15	12	14	9	31	16	9	23	22	13	31	37	37	28	20	12	16	7	30	25	17	18	24	8	19	10	2	9	28	15	12	19	16	15	20	14	27	12	21	13	24	17	10	10	12	3	6	12	24	27	35	23	14	20	18	8	19	17	21	6	18	22	25	5	16	15	20	13	9	18	25	17	11	8	12	13	17	29	18	7	15	4	25	22	10	10	11	20	23	15	17	12	28	20	25	19	15	22	31	29	31	13
19	12	22	13	15	32	2	11	20	16	20	10	21	31	22	11	39	40	31	16	16	13	0	17	14	10	38	42	18	20	15	22	10	7	20	16	11	15	14	18	40	17	19	32	31	22	41	51	46	37	8	14	26	24	39	23	27	25	34	13	28	19	12	18	37	24	21	28	25	24	30	17	36	21	22	23	33	26	7	9	4	15	15	21	33	32	49	32	16	30	28	18	28	27	30	12	10	31	34	17	19	10	29	7	10	27	35	17	6	18	2	22	18	39	20	16	24	10	34	31	13	19	20	29	32	24	27	22	24	20	35	11	24	31	40	38	40	24
14	10	28	5	27	24	16	27	4	6	16	31	15	28	31	26	35	36	27	16	6	20	17	0	16	24	34	38	13	30	4	17	10	14	22	3	28	24	27	21	36	28	21	28	24	24	36	47	42	23	32	25	18	6	35	30	19	20	26	7	14	12	21	19	33	17	17	6	19	20	24	27	22	11	32	11	29	21	11	9	15	16	18	16	27	27	45	28	8	15	23	16	22	22	26	21	30	27	20	8	29	28	10	20	24	21	30	28	18	21	17	19	29	32	31	19	20	20	31	17	5	13	15	25	28	17	12	16	32	3	31	32	8	28	36	34	36	17
6	17	19	11	13	18	12	14	17	8	8	17	7	18	23	13	26	27	18	4	7	2	14	16	0	8	25	29	3	17	10	10	14	8	10	19	15	11	14	8	28	15	9	19	18	12	28	38	34	23	19	12	12	10	27	20	13	14	20	10	16	4	3	8	24	11	9	15	14	11	18	13	20	9	19	8	20	14	12	11	13	1	5	9	22	25	36	19	16	17	16	5	16	14	17	6	17	18	22	4	15	14	15	14	10	15	22	16	12	8	13	10	17	26	17	6	12	4	22	19	12	5	8	17	20	12	15	9	23	15	22	19	11	18	28	25	27	10
14	17	13	12	8	26	9	9	24	10	14	12	15	26	14	8	34	34	26	10	10	7	10	24	8	0	33	37	13	11	12	17	13	5	11	17	9	6	9	9	35	10	14	27	26	13	35	41	41	32	13	7	20	18	34	13	21	22	28	11	23	14	6	13	32	19	16	23	20	19	25	7	31	16	13	17	28	21	13	11	10	9	10	16	28	31	38	13	17	24	22	12	23	21	24	2	12	26	29	15	9	6	23	6	3	22	29	10	7	6	10	17	11	33	11	11	19	2	29	26	13	14	15	24	27	19	21	16	15	24	29	13	18	15	35	32	35	17
23	39	11	33	19	22	37	36	34	30	20	39	25	9	13	34	11	16	8	21	29	28	38	34	25	33	0	10	23	13	31	24	39	32	16	37	36	21	20	20	9	17	19	10	12	16	3	9	10	24	40	20	20	28	2	12	22	16	13	33	31	24	29	18	1	20	20	33	17	17	26	18	23	26	15	26	4	29	40	36	37	25	24	21	18	16	7	11	41	32	12	21	13	12	7	27	39	8	25	26	15	36	34	36	32	24	5	18	36	27	37	16	17	3	14	20	17	29	7	31	34	23	22	12	5	21	29	18	15	34	4	40	29	11	9	9	11	20
27	43	16	37	23	30	41	34	39	35	24	36	30	13	17	38	6	5	15	26	34	33	42	38	29	37	10	0	28	18	35	32	44	36	21	41	33	26	25	24	3	22	23	14	19	20	11	7	2	31	38	37	27	32	8	17	29	23	21	37	38	29	33	22	11	27	24	38	25	24	34	22	30	30	19	31	15	36	45	41	42	29	29	29	26	24	5	15	45	39	20	26	20	20	18	32	36	15	33	30	19	40	38	40	37	37	10	23	41	31	42	20	22	11	19	25	27	33	12	38	39	27	26	17	13	29	36	28	18	39	6	38	33	15	2	3	2	25
3	18	18	12	15	15	18	16	13	9	5	19	4	17	21	15	25	25	17	3	8	4	18	13	3	13	23	28	0	20	9	7	15	12	12	16	16	13	15	10	25	17	11	18	16	14	26	32	32	20	21	13	9	7	25	19	10	11	17	11	13	2	9	6	23	8	6	12	11	10	13	15	17	5	22	5	19	11	13	12	18	3	7	6	17	18	29	18	20	14	13	3	14	12	15	10	19	17	19	3	17	16	13	16	13	9	20	18	17	9	18	8	18	24	21	8	10	9	20	16	13	2	4	15	17	8	12	5	23	13	20	20	8	17	26	24	26	8
19	35	3	29	6	31	19	9	30	26	16	13	21	8	3	9	15	15	13	17	26	19	20	30	17	11	13	18	20	0	26	23	25	17	8	33	10	9	7	9	15	4	9	6	25	7	16	26	21	39	15	7	23	24	14	3	26	23	28	28	29	20	18	14	12	22	15	29	23	15	31	6	34	22	2	23	11	27	22	22	19	20	13	20	33	31	24	3	37	31	11	17	23	13	12	11	13	13	35	22	5	10	30	13	11	28	10	5	14	10	18	12	4	17	1	11	19	14	8	32	30	19	18	8	10	24	28	19	4	30	10	14	25	5	15	13	16	16
10	10	24	4	23	21	14	23	7	3	12	27	9	24	28	23	31	32	24	12	4	9	15	4	10	12	31	35	9	26	0	13	10	11	19	6	24	20	23	18	33	25	18	25	21	21	31	44	39	28	28	21	15	5	32	26	16	17	23	3	20	8	9	16	30	13	14	9	17	17	21	22	23	9	29	6	25	18	9	7	13	9	14	12	25	24	41	24	9	21	21	12	18	19	22	14	26	24	25	6	24	23	9	18	15	18	28	25	17	18	15	15	26	29	27	15	17	12	27	22	5	9	11	22	25	14	12	13	29	7	28	29	8	24	33	30	32	13
6	22	21	16	19	12	22	20	10	13	11	23	5	21	24	19	28	29	19	9	12	13	22	17	10	17	24	32	7	23	13	0	22	16	15	20	21	17	20	14	29	21	14	21	13	17	24	29	35	17	25	18	6	11	24	23	7	8	13	15	9	6	14	12	26	5	10	9	8	14	10	20	17	6	26	7	22	7	25	19	22	10	11	3	14	15	27	21	24	10	16	9	11	15	19	14	23	19	15	12	22	20	9	21	17	5	23	22	21	14	22	12	22	22	24	12	7	13	24	11	17	5	8	18	21	4	7	5	26	17	24	25	7	20	29	27	29	6
19	3	34	7	20	30	9	17	13	10	22	16	18	33	37	17	41	41	33	18	12	12	10	10	14	13	39	44	15	25	10	22	0	10	22	11	18	19	19	21	42	22	21	34	30	24	42	53	48	37	17	19	24	14	41	36	25	25	31	7	28	17	14	20	39	22	23	16	26	26	30	20	32	18	26	15	35	27	4	3	8	13	17	21	32	33	50	34	7	30	29	20	27	28	31	15	16	33	34	15	22	15	18	13	15	27	36	22	12	20	10	24	23	38	25	18	26	13	36	31	5	18	20	31	34	22	21	22	39	13	36	17	17	33	42	40	42	22
13	12	26	10	13	25	7	12	23	8	14	11	14	26	19	12	34	33	25	10	8	7	7	14	8	5	32	36	12	17	11	16	10	0	14	14	12	10	13	12	34	15	13	26	25	16	34	40	40	31	12	11	19	17	33	18	20	21	28	9	23	13	6	12	31	18	15	23	21	18	24	12	31	15	18	16	27	20	7	7	7	9	9	15	28	31	38	26	14	24	21	12	22	21	24	7	11	25	29	10	14	10	23	8	5	21	28	16	6	12	7	17	16	32	17	10	18	4	29	25	10	14	14	23	26	18	21	16	21	23	29	12	18	26	34	32	34	16
11	27	6	21	10	20	18	11	22	19	7	15	13	9	9	10	17	18	8	7	18	10	20	22	10	11	16	21	12	8	19	15	22	14	0	25	11	5	10	4	18	10	1	8	15	2	17	29	24	29	16	8	13	16	17	8	15	13	19	21	21	12	11	3	15	12	5	21	13	7	22	7	22	14	11	15	10	19	21	19	19	10	6	11	23	22	27	6	29	22	6	10	13	8	7	11	15	8	27	14	7	12	21	15	10	20	14	12	15	6	19	3	12	13	9	4	8	10	11	23	23	11	10	4	10	13	20	9	11	22	13	16	17	7	18	16	18	8
16	9	30	4	29	27	16	30	6	8	19	22	17	31	34	29	38	39	30	19	9	14	16	3	19	17	37	41	16	33	6	20	11	14	25	0	31	27	30	24	39	31	24	31	27	27	39	50	45	26	24	28	21	8	38	33	22	23	29	6	17	14	13	22	36	20	20	8	22	23	27	30	25	14	35	14	32	24	10	8	14	18	21	19	29	30	48	31	5	18	26	19	25	25	29	24	22	30	23	11	32	30	12	19	27	24	33	31	18	24	17	22	32	35	33	22	23	16	34	19	5	16	18	28	31	20	15	19	35	6	33	24	11	30	39	37	39	19
17	20	12	21	5	30	10	0	27	19	18	5	19	17	12	4	30	34	19	14	23	15	11	28	15	9	36	33	16	10	24	21	18	12	11	31	0	6	3	10	35	7	12	15	29	13	39	40	35	35	6	3	24	22	37	12	25	23	32	20	27	18	16	16	35	22	19	27	23	22	28	6	34	19	13	21	31	24	15	17	12	16	13	19	31	30	37	13	24	28	17	16	26	25	18	9	5	19	32	19	8	6	27	5	9	25	30	5	6	8	10	20	8	37	13	14	22	11	17	29	20	17	18	16	30	23	25	20	14	27	30	6	22	14	36	33	36	22
14	22	9	17	5	26	15	6	24	15	15	10	15	15	11	5	22	23	13	11	19	12	15	24	11	6	21	26	13	9	20	17	19	10	5	27	6	0	5	4	23	6	6	13	26	7	22	34	29	32	11	3	20	18	22	10	21	22	28	16	24	14	12	9	20	19	16	23	22	19	25	2	31	16	10	16	13	21	18	16	15	12	7	16	29	31	32	10	22	25	11	13	23	13	12	5	10	13	29	15	6	7	24	10	5	22	17	8	10	2	15	9	7	18	8	5	19	7	15	26	18	15	15	9	15	19	22	17	13	24	18	11	19	11	23	21	23	17
17	21	10	20	2	29	13	3	27	18	17	7	18	15	9	3	21	22	18	14	22	14	14	27	14	9	20	25	15	7	23	20	19	13	10	30	3	5	0	9	22	4	11	13	28	11	23	40	35	34	9	2	23	21	21	9	24	25	31	19	26	17	15	15	19	22	19	26	22	21	27	4	34	18	9	20	19	24	17	19	13	15	13	19	31	34	38	10	34	27	16	15	25	24	17	9	7	18	31	18	6	4	27	7	9	24	16	3	8	7	12	21	5	23	7	13	22	10	14	29	21	17	18	15	18	22	25	19	11	27	17	9	22	12	22	20	22	20
11	26	8	19	9	23	17	10	21	18	7	14	12	13	10	9	21	22	12	6	17	9	18	21	8	9	20	24	10	9	18	14	21	12	4	24	10	4	9	0	21	9	5	11	18	6	20	33	27	29	15	7	17	15	20	8	18	15	21	18	20	12	9	5	19	16	8	20	15	10	22	6	28	13	11	14	13	19	21	18	18	8	4	13	25	24	31	8	28	21	9	7	15	11	10	6	13	12	26	12	5	10	21	13	9	19	17	11	14	3	18	6	10	16	10	2	11	8	13	23	22	12	9	8	13	16	19	12	11	21	17	15	16	11	21	20	22	9
24	41	13	35	21	26	39	35	36	32	22	41	27	11	15	36	5	4	14	24	32	31	40	36	28	35	9	3	25	15	33	29	42	34	18	39	35	23	22	21	0	19	21	12	17	18	9	6	3	30	42	22	26	30	6	14	28	22	20	35	35	26	31	20	8	27	21	35	24	21	36	19	29	28	16	29	10	33	41	38	39	28	27	26	24	23	4	13	43	36	17	24	19	19	12	30	41	14	32	28	17	38	35	38	35	33	5	20	39	25	40	18	19	9	16	22	24	31	9	37	37	25	24	14	9	30	34	25	17	36	5	42	31	12	0	2	1	23
18	24	6	20	2	30	16	6	28	19	19	10	19	12	6	6	18	19	17	15	24	16	17	28	15	10	17	22	17	4	25	21	22	15	10	31	7	6	4	9	19	0	11	10	30	11	20	30	25	36	12	4	24	22	18	6	25	24	33	20	27	18	16	13	16	23	20	27	24	23	28	4	35	20	5	21	15	25	19	20	16	16	10	20	32	31	28	7	35	28	15	16	27	17	16	10	10	17	33	19	5	7	27	10	9	26	15	2	11	8	15	21	1	20	5	15	22	12	11	29	23	18	19	12	14	23	26	20	8	28	14	11	23	9	19	17	19	22
10	26	7	20	11	19	18	12	21	18	7	16	12	13	10	11	20	20	9	8	17	9	19	21	9	14	19	23	11	9	18	14	21	13	1	24	12	6	11	5	21	11	0	9	15	3	22	32	27	28	17	9	13	15	20	9	14	12	15	20	20	12	10	2	18	11	5	21	12	6	22	8	22	13	12	14	14	19	21	19	18	12	5	11	20	18	30	7	28	22	7	8	12	7	8	9	16	9	26	13	8	13	21	16	11	19	15	13	17	6	18	3	13	14	10	4	8	9	16	23	22	10	9	5	13	14	19	9	12	21	15	17	16	8	21	19	21	6
17	33	4	27	12	29	31	15	28	24	14	19	19	2	6	14	11	12	11	15	24	23	32	28	19	27	10	14	18	6	25	21	34	26	8	31	15	13	13	11	12	10	9	0	23	7	13	23	18	34	20	12	21	22	11	5	24	21	23	27	27	18	23	12	9	20	14	27	20	13	28	10	32	20	7	21	5	25	34	30	31	19	18	18	28	26	21	3	35	29	9	15	20	12	8	21	18	11	33	20	7	16	28	19	16	26	6	11	19	14	32	10	10	9	7	15	17	23	3	30	28	17	16	6	4	22	26	17	8	28	6	20	23	1	12	10	12	15
12	29	23	23	28	12	30	29	25	21	13	32	13	20	26	27	25	25	7	14	20	22	31	24	18	26	12	19	16	25	21	13	30	25	15	27	29	26	28	18	17	30	15	23	0	18	11	17	18	14	33	26	10	18	12	25	12	6	3	23	21	15	22	14	12	10	11	24	8	8	17	28	13	16	28	17	12	19	33	27	30	18	17	11	9	7	15	23	31	22	8	14	4	6	9	20	32	7	16	19	26	29	24	29	26	14	16	31	29	20	30	9	31	10	26	16	8	22	18	21	25	13	11	12	12	12	19	9	28	25	15	33	19	22	17	21	19	11
13	29	5	23	11	22	21	13	24	21	10	17	15	8	8	12	18	18	8	11	20	13	22	24	12	13	16	20	14	7	21	17	24	16	2	27	13	7	11	6	18	11	3	7	18	0	19	29	24	31	18	10	16	18	17	7	17	15	18	23	23	15	13	5	15	14	8	24	15	9	25	8	25	16	10	17	11	22	24	22	21	15	8	14	23	21	27	5	31	25	6	11	15	8	7	13	17	8	29	16	7	14	24	17	12	22	12	12	17	8	22	6	11	19	8	7	11	12	10	26	25	13	12	3	10	17	22	12	10	24	13	18	19	6	18	16	18	9
